fips,state,pop_2019,date,total_doses_state_level,cum_deaths,confirmed,1st_dose,2nd_dose,est_booster_doses
24.0,Maryland,6045680.0,2020-12-24,14103.0,5627.0,260728.0,14103.0,0.0,0.0
25.0,Massachusetts,6892503.0,2020-12-24,59556.0,11961.0,340785.0,59556.0,0.0,0.0
26.0,Michigan,9986857.0,2020-12-24,52309.0,12296.0,487866.0,52309.0,0.0,0.0
27.0,Minnesota,5639632.0,2020-12-24,2999.0,5109.0,404403.0,2999.0,0.0,0.0
29.0,Missouri,6137428.0,2020-12-24,23000.0,5132.0,389583.0,23000.0,0.0,0.0
30.0,Montana,1068778.0,2020-12-24,3000.0,916.0,78929.0,3000.0,0.0,0.0
31.0,Nebraska,1934408.0,2020-12-24,8958.0,1568.0,160357.0,8958.0,0.0,0.0
34.0,New Jersey,8882190.0,2020-12-24,36500.0,18544.0,496638.0,36500.0,0.0,0.0
36.0,New York,19453561.0,2020-12-24,89000.0,36846.0,899837.0,89000.0,0.0,0.0
37.0,North Carolina,10488084.0,2020-12-24,24500.0,6360.0,494511.0,24500.0,0.0,0.0
38.0,North Dakota,762062.0,2020-12-24,12990.0,1260.0,90947.0,12990.0,0.0,0.0
39.0,Ohio,11689100.0,2020-12-24,50768.0,12461.0,653650.0,50768.0,0.0,0.0
40.0,Oklahoma,3956971.0,2020-12-24,2253.0,2328.0,272705.0,2253.0,0.0,0.0
41.0,Oregon,4217737.0,2020-12-24,16945.0,1415.0,106821.0,16945.0,0.0,0.0
42.0,Pennsylvania,12801989.0,2020-12-24,41444.0,14767.0,598535.0,41444.0,0.0,0.0
44.0,Rhode Island,1059361.0,2020-12-24,7072.0,1824.0,82066.0,7072.0,0.0,0.0
46.0,South Dakota,884659.0,2020-12-24,9770.0,1430.0,96546.0,9770.0,0.0,0.0
47.0,Tennessee,6829174.0,2020-12-24,58758.0,6431.0,546497.0,58758.0,0.0,0.0
48.0,Texas,28995881.0,2020-12-24,113514.0,26868.0,1661626.0,113514.0,0.0,0.0
49.0,Utah,3205958.0,2020-12-24,14822.0,878.0,200431.0,14822.0,0.0,0.0
50.0,Vermont,623989.0,2020-12-24,7444.0,120.0,6781.0,7444.0,0.0,0.0
51.0,Virginia,8535519.0,2020-12-24,31491.0,4791.0,323915.0,31491.0,0.0,0.0
53.0,Washington,7614893.0,2020-12-24,48427.0,3184.0,233093.0,48427.0,0.0,0.0
54.0,West Virginia,1792147.0,2020-12-24,26487.0,1228.0,77239.0,26487.0,0.0,0.0
55.0,Wisconsin,5822434.0,2020-12-24,36005.0,5019.0,503706.0,36005.0,0.0,0.0
56.0,Wyoming,578759.0,2020-12-24,2865.0,373.0,42664.0,2865.0,0.0,0.0
1.0,Alabama,4903185.0,2020-12-25,5181.0,4680.0,342426.0,5181.0,0.0,0.0
2.0,Alaska,731545.0,2020-12-25,11845.0,199.0,45122.0,11845.0,0.0,0.0
5.0,Arkansas,3017804.0,2020-12-25,4000.0,3438.0,213267.0,4000.0,0.0,0.0
8.0,Colorado,5758736.0,2020-12-25,63170.0,4586.0,322189.0,63170.0,0.0,0.0
9.0,Connecticut,3565287.0,2020-12-25,7761.0,5791.0,172743.0,7761.0,0.0,0.0
10.0,Delaware,973764.0,2020-12-25,7420.0,1009.0,53653.0,7420.0,0.0,0.0
12.0,Florida,21477737.0,2020-12-25,115676.0,20995.0,1247546.0,115676.0,0.0,0.0
13.0,Georgia,10617423.0,2020-12-25,26010.0,10631.0,624630.0,26010.0,0.0,0.0
16.0,Idaho,1787065.0,2020-12-25,8490.0,1349.0,135233.0,8490.0,0.0,0.0
21.0,Kentucky,4467673.0,2020-12-25,11192.0,2466.0,250279.0,11192.0,0.0,0.0
22.0,Louisiana,4648794.0,2020-12-25,32766.0,7272.0,296499.0,32766.0,0.0,0.0
23.0,Maine,1344212.0,2020-12-25,16236.0,319.0,21547.0,16236.0,0.0,0.0
24.0,Maryland,6045680.0,2020-12-25,16902.0,5659.0,263160.0,16902.0,0.0,0.0
25.0,Massachusetts,6892503.0,2020-12-25,59847.0,11961.0,340785.0,59847.0,0.0,0.0
26.0,Michigan,9986857.0,2020-12-25,54040.0,12296.0,487866.0,54040.0,0.0,0.0
27.0,Minnesota,5639632.0,2020-12-25,2999.0,5109.0,404403.0,2999.0,0.0,0.0
29.0,Missouri,6137428.0,2020-12-25,23000.0,5140.0,391262.0,23000.0,0.0,0.0
30.0,Montana,1068778.0,2020-12-25,3000.0,916.0,78929.0,3000.0,0.0,0.0
31.0,Nebraska,1934408.0,2020-12-25,8958.0,1558.0,161162.0,8958.0,0.0,0.0
